text,labels,Rainfall (mm),Water Level (m),Humidity (%),Temperature (°C)
Stable rain and proper water routing keep risk low.,"[1, 1, 2, 7, 8]",154.4,2.71,79.0,17.2
Massive tree removal and hillside construction increase runoff.,"[7, 8, 4, 3, 1]",145.2,5.12,31.5,13.8
Storm surge and high tides overwhelm coastal defenses.,"[4, 1, 7, 2, 3]",99.0,0.62,84.5,28.1
High humidity and sudden temperature drops cause localized storms.,"[5, 3, 7, 3, 4]",116.6,3.99,45.2,30.1
High humidity and sudden temperature drops cause localized storms.,"[6, 4, 6, 2, 5]",16.1,1.4,52.9,20.8
Storm surge and high tides overwhelm coastal defenses.,"[4, 3, 10, 1, 1]",10.8,4.69,35.7,27.2
"Wetlands restored, reducing impact of heavy seasonal rain.","[3, 3, 4, 9, 8]",54.4,3.91,46.6,31.9
Urban heat and poor infrastructure trigger flash flooding.,"[7, 5, 7, 3, 1]",28.2,1.52,83.4,29.1
Sudden thawing and fast snowmelt raise downstream water levels.,"[3, 5, 7, 5, 5]",70.7,2.52,83.5,11.3
Prolonged drought and deforestation leading to dry soil runoff.,"[7, 9, 8, 5, 3]",4.3,1.52,49.3,13.1
Prolonged drought and deforestation leading to dry soil runoff.,"[7, 10, 6, 3, 2]",111.8,1.4,69.1,28.5
Torrential rainfall and rising river levels in heavily urbanized areas.,"[9, 6, 7, 1, 2]",35.9,4.13,28.1,11.8
Tropical cyclone impact in poorly prepared coastal zones.,"[7, 4, 8, 2, 2]",45.8,5.38,70.8,9.1
Torrential rainfall and rising river levels in heavily urbanized areas.,"[8, 5, 8, 0, 3]",130.3,1.38,56.7,35.1
Stable rain and proper water routing keep risk low.,"[2, 1, 2, 8, 9]",70.5,4.47,35.2,10.4
Prolonged drought and deforestation leading to dry soil runoff.,"[5, 8, 7, 2, 2]",140.7,2.09,91.3,31.6
Concrete sprawl and no green infrastructure near water bodies.,"[9, 3, 7, 2, 4]",88.8,2.31,31.6,26.7
Sudden thawing and fast snowmelt raise downstream water levels.,"[2, 2, 8, 3, 5]",123.9,3.28,54.7,22.8
Controlled rainfall and strong dam systems in eco-zones.,"[2, 3, 2, 8, 9]",151.3,2.77,33.6,34.6
Urban heat and poor infrastructure trigger flash flooding.,"[8, 3, 8, 0, 1]",92.7,3.26,64.2,27.2
Massive tree removal and hillside construction increase runoff.,"[7, 10, 7, 3, 2]",66.3,0.92,33.9,32.4
Prolonged drought and deforestation leading to dry soil runoff.,"[5, 10, 6, 4, 1]",126.7,1.39,37.6,10.5
High humidity and sudden temperature drops cause localized storms.,"[4, 4, 9, 4, 2]",119.7,1.72,68.9,16.4
High humidity and sudden temperature drops cause localized storms.,"[4, 3, 9, 2, 5]",92.5,2.08,79.0,28.9
High humidity and sudden temperature drops cause localized storms.,"[4, 3, 7, 3, 4]",141.7,2.34,76.6,24.2
Massive tree removal and hillside construction increase runoff.,"[6, 7, 4, 3, 1]",146.4,1.05,36.5,10.1
Urban heat and poor infrastructure trigger flash flooding.,"[7, 5, 8, 3, 2]",72.2,3.98,38.4,26.5
Concrete sprawl and no green infrastructure near water bodies.,"[8, 5, 7, 0, 3]",1.5,0.6,58.8,15.9
Torrential rainfall and rising river levels in heavily urbanized areas.,"[9, 4, 9, 3, 4]",157.3,3.01,91.1,35.8
Urban heat and poor infrastructure trigger flash flooding.,"[8, 4, 9, 1, 1]",2.2,4.43,28.4,31.7
Sudden thawing and fast snowmelt raise downstream water levels.,"[5, 2, 7, 4, 3]",10.0,1.35,76.6,24.8
Heavy precipitation in mountainous areas with failing dams.,"[4, 6, 8, 3, 2]",71.4,3.51,90.5,19.7
Massive tree removal and hillside construction increase runoff.,"[6, 9, 6, 2, 3]",110.6,0.67,71.7,14.8
City growth along floodplain with weak canal systems.,"[8, 3, 5, 3, 0]",141.3,2.98,49.5,16.2
"Wetlands restored, reducing impact of heavy seasonal rain.","[1, 2, 5, 8, 7]",38.4,2.87,79.4,29.7
Torrential rainfall and rising river levels in heavily urbanized areas.,"[9, 5, 9, 2, 2]",0.8,4.19,37.2,22.4
Melting snowpack during spring with moderate drainage systems.,"[3, 4, 6, 3, 6]",72.1,4.19,30.6,5.0
Sudden thawing and fast snowmelt raise downstream water levels.,"[5, 3, 7, 4, 4]",115.3,2.33,91.6,33.3
Sudden thawing and fast snowmelt raise downstream water levels.,"[4, 2, 6, 4, 4]",48.8,1.24,56.1,23.2
Torrential rainfall and rising river levels in heavily urbanized areas.,"[10, 4, 7, 1, 2]",27.0,4.62,57.7,17.7
